,Name,Party,GE,Constituency,Margin,election_type,election_year
1772,SIEK Shing Min,Barisan Sosialis,GE 1963,Changi,30.5%,GE,1963
1773,SIM Ah Leng,Singapore United Front,GE 1984,Punggol,34.9%,GE,1984
1774,SIM Ann,People's Action Party,GE 2011,Holland-Bukit Timah GRC,60.1%,GE,2011
1775,SIM Ann,People's Action Party,GE 2015,Holland-Bukit Timah GRC,66.6%,GE,2015
1776,SIM Beng Seng,Progressive Party,CC 1952,Rochore,50.4%,CC,1952
1777,SIM Beng Seng,Independent,CC 1957,Kampong Kapor,23.3%,CC,1957
1778,SIM Boon Woo (Robin)[1938 - 7 Apr 2008],People's Action Party,GE 1963,Changi,42.8%,GE,1963
1779,SIM Boon Woo (Robin)[1938 - 7 Apr 2008],People's Action Party,GE 1968,Changi,Uncontested,GE,1968
1780,SIM Boon Woo (Robin)[1938 - 7 Apr 2008],People's Action Party,GE 1972,Changi,62.4%,GE,1972
1781,SIM Chit Giak,United People's Party,GE 1963,Chua Chu Kang,10.4%,GE,1963
1782,SIM Chit Giak,Barisan Sosialis,GE 1980,Kuo Chuan,24.1%,GE,1980
1783,SIM Chit Giak,Barisan Sosialis,GE 1984,Kuo Chuan,35.4%,GE,1984
1784,SIM Cho Lang,Liberal Socialist Party,GE 1959,Upper Serangoon,9.0%,GE,1959
1785,"SIM Keng Poh, John",Independent,GE 1959,Crawford,1.8%,GE,1959
1786,SIM Peng Kim,People's Front,GE 1976,Bedok,26.2%,GE,1976
1787,SIM Peng Kim,United Front,GE 1980,Aljunied,15.4%,GE,1980
1788,SIM Peng Kim,Singapore United Front,GE 1984,Changi,34.3%,GE,1984
1789,SIM Say Chuan,Barisan Sosialis,GE 1976,Khe Bong,25.7%,GE,1976
1790,SIM Say Chuan,Barisan Sosialis,GE 1980,Khe Bong,27.6%,GE,1980
1791,SIM Say Chuan,Barisan Sosialis,GE 1984,Khe Bong,37.5%,GE,1984
1792,SIM Say Chuan,Workers' Party,GE 1988,Bedok GRC,38.0%,GE,1988
1793,SIM Say Chuan,Workers' Party,GE 1997,Pasir Ris GRC,29.1%,GE,1997
1794,SIM Swee Seng,Labour Front,CC 1957,Aljunied,33.8%,CC,1957
1795,SIM Tian Hock (Adrian),Workers' Party,GE 2015,Jalan Besar GRC,32.3%,GE,2015
1796,SIM Wee Teck,Singapore People's Alliance,GE 1959,Hong Lim,5.1%,GE,1959
1797,"SIMON, T. A.",Independent,CC 1953,Rochore,34.8%,CC,1953
1798,"SIMON, T. A.",Independent,GE 1955,Stamford,20.5%,GE,1955
1799,SIN Boon Ann,People's Action Party,GE 1997,Tampines GRC,Uncontested,GE,1997
1800,SIN Boon Ann,People's Action Party,GE 2001,Tampines GRC,73.3%,GE,2001
1801,SIN Boon Ann,People's Action Party,GE 2006,Tampines GRC,68.5%,GE,2006
1802,SIN Kek Tong,Singapore Democratic Party,GE 1988,Braddell Heights,41.2%,GE,1988
1803,SIN Kek Tong,Singapore Democratic Party,GE 1991,Braddell Heights,47.7%,GE,1991
1804,SIN Kek Tong,Singapore People's Party,GE 1997,Ayer Rajah,26.8%,GE,1997
1805,SIN Kek Tong,Singapore Democratic Alliance,GE 2001,Jalan Besar GRC,25.5%,GE,2001
1806,SIN Kek Tong,Singapore Democratic Alliance,GE 2006,MacPherson,31.5%,GE,2006
1807,SIN Kek Tong,Singapore People's Party,GE 2011,Hong Kah North,29.4%,GE,2011
1808,SINNAKARUPPAN C. Ramasamy,People's Action Party,GE 1991,Kampong Glam GRC,Uncontested,GE,1991
1809,SINNAKARUPPAN C. Ramasamy,People's Action Party,GE 1997,Kreta Ayer-Tanglin GRC,Uncontested,GE,1997
1810,SIOW Siang Yew,Independent,CC 1951,North,4.2%,CC,1951
1811,"SIOW Wei Min, Brandon",Workers' Party,GE 2006,East Coast GRC,36.1%,GE,2006
1812,"SITA, George",Singapore Democratic Party,GE 1988,Ulu Pandan,30.9%,GE,1988
1813,SITOH Yih Pin,People's Action Party,GE 2001,Potong Pasir,47.6%,GE,2001
1814,SITOH Yih Pin,People's Action Party,GE 2006,Potong Pasir,44.2%,GE,2006
1815,SITOH Yih Pin,People's Action Party,GE 2011,Potong Pasir,50.4%,GE,2011
1816,SITOH Yih Pin,People's Action Party,GE 2015,Potong Pasir,66.4%,GE,2015
1817,SIVA Chandran,Reform Party,GE 2015,Ang Mo Kio GRC,21.4%,GE,2015
1818,SIVAKUNALENDhoraisingam Samuel,Singapore Democratic Party,GE 1997,Aljunied GRC,33.0%,GE,1997
1819,SNG Choon Guan (Gerald),Singapore Democratic Party,GE 2006,Sembawang GRC,23.3%,GE,2006
1820,SNG Siak Hwee,Democratic Party,GE 1955,Telok Ayer,30.3%,GE,1955
1821,"SNODGRASS, John Anthony",Liberal Socialist Party,GE 1959,Siglap,11.8%,GE,1959
1822,SOH C. S.,Independent,GE 1955,Havelock,7.9%,GE,1955
1823,SOH Ghee Soon[1903 - 27 Dec 1977],Progressive Party,MC 1950,West,47.9%,MC,1950
1824,SOH Ghee Soon[1903 - 27 Dec 1977],Progressive Party,CC 1953,West,74.9%,CC,1953
1825,SOH Ghee Soon[1903 - 27 Dec 1977],Progressive Party,GE 1955,Rochore,23.8%,GE,1955
1826,SOH Ghee Soon[1903 - 27 Dec 1977],Liberal Socialist Party,BE 1957,Cairnhill,40.3%,BE,1957
1827,SOH Ghee Soon[1903 - 27 Dec 1977],Singapore People's Alliance,GE 1959,River Valley,36.5%,GE,1959
1828,SOH Guan Soon (Darren),Reform Party,GE 2015,West Coast GRC,21.4%,GE,2015
1829,SOH Teck Chee,Citizens' Party,GE 1959,Telok Ayer,2.3%,GE,1959
1830,SOH U Loh,United People's Party,GE 1963,Jurong,7.0%,GE,1963
1831,"SOMASUNDARAM, L.",Workers' Party,GE 2011,Moulmein-Kallang GRC,41.4%,GE,2011
1832,"SOMASUNDARAM, L.",Workers' Party,GE 2015,Jalan Besar GRC,32.3%,GE,2015
1833,SOO Ban Hoe,Singapore Alliance,GE 1963,Siglap,9.9%,GE,1963
1834,SOON Dit Woo,Barisan Sosialis,GE 1963,Tiong Bahru,31.9%,GE,1963
1835,SOON Kia Seng,Singapore Democratic Party,GE 1980,Joo Chiat,25.8%,GE,1980
1836,SOON Kia Seng,Singapore Democratic Party,GE 1984,Changkat,41.4%,GE,1984
1837,"SOON Seng Kay, Sidney",Singapore Democratic Alliance,GE 2011,Pasir Ris-Punggol GRC,35.2%,GE,2011
1838,SOO-THO Siu Hee (Michael),Independent,CC 1957,Farrer Park,20.8%,CC,1957
1839,SOO-THO Siu Hee (Michael),Independent,GE 1959,Farrer Park,8.6%,GE,1959
1840,SOO-THO Siu Hee (Michael),Independent,GE 1963,Moulmein,0.7%,GE,1963
1841,"STEVENS, D.",Labour Party,CC 1952,Rochore,36.1%,CC,1952
1842,SUBRAHMANYAM Chinniah,Liberal Socialist Party,GE 1959,Tanjong Pagar,29.0%,GE,1959
1843,SUIB bin Abdul Rahman,Singapore Justice Party,GE 1980,Ayer Rajah,16.6%,GE,1980
1844,SUIB bin Abdul Rahman,"Justice Party, Singapore",GE 1984,Ayer Rajah,24.6%,GE,1984
1845,SUIB bin Abdul Rahman,"Justice Party, Singapore",GE 1988,Marine Parade GRC,26.2%,GE,1988
1846,SUIB bin Abdul Rahman,"Justice Party, Singapore",GE 1991,Marine Parade GRC,22.8%,GE,1991
1847,SUIB bin Abdul Rahman,Singapore Justice Party,BE 1992,Marine Parade GRC,1.1%,BE,1992
1848,SUKAIMI bin Ibrahim,United Malays National Organisation,GE 1959,Pasir Panjang,28.9%,GE,1959
1849,SUKHDEV Singh Gill,Singaporeans First,GE 2015,Jurong GRC,20.7%,GE,2015
1850,SULAIMAN bin Jaffar,Singapore Justice Party,GE 1976,Bukit Batok,15.4%,GE,1976
1851,SULTAN MYDIN bin Abdul Hamid,United National Front,GE 1972,Kallang,20.2%,GE,1972
1852,SUM Chong Meng,Workers' Party,GE 1968,Jalan Kayu,17.7%,GE,1968
1853,"SUNN SUN, Ken",National Solidarity Party,GE 1988,Whampoa,40.5%,GE,1988
1854,"SUNN SUN, Ken",National Solidarity Party,GE 1991,Tampines GRC,40.5%,GE,1991
1855,"SUNN SUN, Ken",National Solidarity Party,BE 1992,Marine Parade GRC,1.4%,BE,1992
1856,"SUNN SUN, Ken",National Solidarity Party,GE 2011,Whampoa,33.9%,GE,2011
1857,SUN Xueling @ SOON Sher Rene,People's Action Party,GE 2015,Pasir Ris-Punggol GRC,72.9%,GE,2015
1858,"SUNDRAM, A. L.",Workers' Party,GE 1984,Kallang,35.1%,GE,1984
1859,"SUNDRAM, A. L.",Workers' Party,GE 1988,Kallang,33.9%,GE,1988
1860,"SUNG, Peter",People's Action Party,GE 1988,Buona Vista,61.8%,GE,1988
1861,"SUNG, Peter",People's Action Party,GE 1991,Buona Vista,79.4%,GE,1991
1862,SYAFARIN bin Sarif,National Solidarity Party,GE 2011,Tampines GRC,42.8%,GE,2011
1863,SYAFARIN bin Sarif,People's Power Party,GE 2015,Chua Chu Kang GRC,23.1%,GE,2015
1864,SYED AHMAD bin Syed Husain Dahlan,Pan-Malayan Islamic Party,GE 1959,Geylang Serai,3.7%,GE,1959
1865,SYED AHMAD bin Syed Husain Dahlan,United National Front,GE 1972,Pasir Panjang,28.2%,GE,1972
1866,SYED ALI bin Zedha Alsagoff,United Malays National Organisation,CC 1957,Telok Blangah,51.3%,CC,1957
1867,SYED FARID bin Wajidi,Singapore People's Party,GE 1997,Bukit Gombak,6.4%,GE,1997
1868,SYED OMAR binAbdulrahman Alsagoff,Liberal Socialist Party,CC 1957,Tanglin,33.7%,CC,1957
1869,SZE Yih Hwa,People's Action Party,CC 1957,Bras Basah,64.7%,CC,1957
1870,"TAMBYAH, Paul Anantharajah",Singapore Democratic Party,GE 2015,Holland-Bukit Timah GRC,33.4%,GE,2015
1871,"TAN Ah Lek, William",Democratic Party,GE 1955,Tiong Bahru,38.6%,GE,1955
1872,"TAN Ah Lek, William",Independent,GE 1959,Tiong Bahru,15.9%,GE,1959
1873,"TAN Ah Lek, William",Independent,GE 1963,Tiong Bahru,6.5%,GE,1963
1874,TAN Ah Pak,Liberal Socialist Party,GE 1959,Havelock,2.2%,GE,1959
1875,TAN Ah Teng,Independent,GE 1984,Mountbatten,18.7%,GE,1984
1876,TAN Bin Seng,Workers' Party,GE 1991,Changi,47.0%,GE,1991
1877,TAN Bin Seng,Workers' Party,GE 1997,Cheng San GRC,45.2%,GE,1997
1878,TAN Bin Seng,Workers' Party,GE 2006,Joo Chiat,35.0%,GE,2006
1879,TAN Boon Wan,People's Action Party,GE 1997,Ang Mo Kio GRC,Uncontested,GE,1997
1880,TAN Boon Wan,People's Action Party,GE 2001,Ang Mo Kio GRC,Uncontested,GE,2001
1881,TAN Chee Kien,United Front,GE 1980,Boon Lay,25.8%,GE,1980
1882,TAN Chee Kien,Singapore United Front,GE 1984,Kaki Bukit,47.8%,GE,1984
1883,TAN Chee Kien,National Solidarity Party,BE 1992,Marine Parade GRC,1.4%,BE,1992
1884,TAN Chee Kien,National Solidarity Party,GE 1997,Hong Kah GRC,31.0%,GE,1997
1885,TAN Cheng Bock (Adrian)[26 Apr 1940 - ],People's Action Party,GE 1980,Ayer Rajah,83.4%,GE,1980
1886,TAN Cheng Bock (Adrian)[26 Apr 1940 - ],People's Action Party,GE 1984,Ayer Rajah,75.4%,GE,1984
1887,TAN Cheng Bock (Adrian)[26 Apr 1940 - ],People's Action Party,GE 1988,Ayer Rajah,69.6%,GE,1988
1888,TAN Cheng Bock (Adrian)[26 Apr 1940 - ],People's Action Party,GE 1991,Ayer Rajah,75.2%,GE,1991
1889,TAN Cheng Bock (Adrian)[26 Apr 1940 - ],People's Action Party,GE 1997,Ayer Rajah,73.2%,GE,1997
1890,TAN Cheng Bock (Adrian)[26 Apr 1940 - ],People's Action Party,GE 2001,Ayer Rajah,88.0%,GE,2001
1891,TAN Cheng Bock (Adrian)[26 Apr 1940 - ],Presidential Office,PE 2011,Presidential Office,34.9%,PE,2011
1892,TAN Cheng Chuan,Liberal Socialist Party,GE 1959,Anson,14.5%,GE,1959
1893,TAN Cheng San,People's Action Party,GE 1976,Paya Lebar,67.5%,GE,1976
1894,TAN Cheng Tong,People's Action Party,GE 1959,Jalan Kayu,62.3%,GE,1959
1895,TAN Cheng Tong,Barisan Sosialis,GE 1963,Jalan Kayu,38.0%,GE,1963
1896,TAN Cheow Hock,Barisan Sosialis,GE 1963,Tanglin,23.1%,GE,1963
1897,TAN Chin Siong (Sam),People's Action Party,GE 2006,Tanjong Pagar GRC,Uncontested,GE,2006
1898,TAN Chin Siong (Sam),People's Action Party,GE 2011,Radin Mas,67.1%,GE,2011
1899,TAN Chin Siong (Sam),People's Action Party,GE 2015,Radin Mas,77.2%,GE,2015
1900,TAN Choon Sing,United People's Party,GE 1963,Sepoy Lines,5.8%,GE,1963
1901,TAN Choon Teng,Citizens' Party,GE 1959,Upper Serangoon,2.1%,GE,1959
1902,TAN Chor Yong (John),United Democratic Party,GE 1963,Toa Payoh,6.0%,GE,1963
1903,TAN Chuan Jin,People's Action Party,GE 2011,Marine Parade GRC,56.6%,GE,2011
1904,TAN Chuan Jin,People's Action Party,GE 2015,Marine Parade GRC,64.1%,GE,2015
1905,TAN Chye Cheng,Progressive Party,GE 1948,Municipal South-West,42.3%,GE,1948
1906,TAN Chye Cheng,Progressive Party,GE 1951,Tanglin,80.1%,GE,1951
1907,TAN Chye Cheng,Progressive Party,GE 1955,Cairnhill,36.4%,GE,1955
1908,TAN Ek Khoo,Liberal Socialist Party,GE 1959,River Valley,27.0%,GE,1959
1909,TAN Eng Joo,Democratic Party,GE 1955,Paya Lebar,47.9%,GE,1955
1910,TAN Eng Liang,People's Action Party,GE 1972,River Valley,Uncontested,GE,1972
1911,TAN Eng Liang,People's Action Party,GE 1976,River Valley,81.8%,GE,1976
1912,TAN Ewe Chee,Labour Front,GE 1955,Telok Ayer,29.8%,GE,1955
1913,TAN Hai Tong,Liberal Socialist Party,CC 1957,Kallang,28.1%,CC,1957
1914,TAN Hai Tong,Singapore People's Alliance,GE 1959,Kallang,42.1%,GE,1959
1915,TAN Hai Tong,Independent,GE 1963,Kallang,2.5%,GE,1963
1916,"TAN Heng Chong, Eric",Workers' Party,GE 2006,East Coast GRC,36.1%,GE,2006
1917,"TAN Heng Chong, Eric",Workers' Party,GE 2011,East Coast GRC,45.2%,GE,2011
1918,TAN Hock Lim,Singapore Alliance,GE 1963,Kallang,6.0%,GE,1963
1919,TAN Hong Chye,Liberal Socialist Party,GE 1959,Hong Lim,7.5%,GE,1959
1920,"TAN Hui Heng, Augustine",People's Action Party,BE 1970,Whampoa,Uncontested,BE,1970
1921,"TAN Hui Heng, Augustine",People's Action Party,GE 1972,Whampoa,78.6%,GE,1972
1922,"TAN Hui Heng, Augustine",People's Action Party,GE 1976,Whampoa,81.0%,GE,1976
1923,"TAN Hui Heng, Augustine",People's Action Party,GE 1980,Whampoa,Uncontested,GE,1980
1924,"TAN Hui Heng, Augustine",People's Action Party,GE 1984,Whampoa,Uncontested,GE,1984
1925,"TAN Hui Heng, Augustine",People's Action Party,GE 1988,Whampoa,59.5%,GE,1988
1926,TAN Jee Say,Singapore Democratic Party,GE 2011,Holland-Bukit Timah GRC,39.9%,GE,2011
1927,TAN Jee Say,Presidential Office,PE 2011,Presidential Office,25.0%,PE,2011
1928,TAN Jee Say,Singaporeans First,GE 2015,Tanjong Pagar GRC,22.3%,GE,2015
1929,TAN Jing Quee,Barisan Sosialis,GE 1963,Kampong Glam,42.5%,GE,1963
1930,TAN Jin Hong,Independent,CC 1957,Aljunied,19.5%,CC,1957
1931,TAN Jin Hong,Labour Front,CC 1957,Delta,20.3%,CC,1957
1932,TAN Jin Hong,Singapore People's Alliance,GE 1959,Punggol,41.6%,GE,1959
1933,TAN Jin Hong,Singapore Alliance,GE 1963,Punggol,13.3%,GE,1963
1934,TAN Jue Kit,United People's Front,GE 1984,Bukit Batok,21.7%,GE,1984
1935,"TAN Jun Yen, Ron",Workers' Party,GE 2015,Nee Soon GRC,33.2%,GE,2015
1936,TAN Keng Hong (Tony),Singapore Democratic Alliance,GE 2011,Pasir Ris-Punggol GRC,35.2%,GE,2011
1937,TAN Keng Siong,Liberal Socialist Party,GE 1959,Cairnhill,4.4%,GE,1959
1938,"TAN Keng Yam, Tony[7 Feb 1940 - ]",People's Action Party,BE 1979,Sembawang,78.4%,BE,1979
1939,"TAN Keng Yam, Tony[7 Feb 1940 - ]",People's Action Party,GE 1980,Sembawang,81.6%,GE,1980
1940,"TAN Keng Yam, Tony[7 Feb 1940 - ]",People's Action Party,GE 1984,Sembawang,77.4%,GE,1984
1941,"TAN Keng Yam, Tony[7 Feb 1940 - ]",People's Action Party,GE 1988,Sembawang GRC,70.1%,GE,1988
1942,"TAN Keng Yam, Tony[7 Feb 1940 - ]",People's Action Party,GE 1991,Sembawang GRC,Uncontested,GE,1991
1943,"TAN Keng Yam, Tony[7 Feb 1940 - ]",People's Action Party,GE 1997,Sembawang GRC,Uncontested,GE,1997
1944,"TAN Keng Yam, Tony[7 Feb 1940 - ]",People's Action Party,GE 2001,Sembawang GRC,Uncontested,GE,2001
1945,"TAN Keng Yam, Tony[7 Feb 1940 - ]",Presidential Office,PE 2011,Presidential Office,35.2%,PE,2011
1946,TAN Khiang Khoo,Democratic Party,GE 1955,Cairnhill,16.0%,GE,1955
1947,TAN Kia Gan,People's Action Party,GE 1959,Paya Lebar,60.8%,GE,1959
1948,TAN Kia Gan,People's Action Party,GE 1963,Paya Lebar,42.1%,GE,1963
1949,"TAN Kian Hwee, Melvin",Workers' Party,GE 2006,Ang Mo Kio GRC,33.9%,GE,2006
1950,TAN Kian Kee,Singapore People's Alliance,GE 1959,Telok Ayer,16.9%,GE,1959
1951,TAN Kim Chuang,Independent,GE 2001,Bukit Timah,4.9%,GE,2001
1952,TAN Kin Lian,Presidential Office,PE 2011,Presidential Office,4.9%,PE,2011
1953,TAN Kok Siong,Singapore Alliance,GE 1963,Tiong Bahru,4.3%,GE,1963
1954,"TAN Lay Thiam, Tony",National Solidarity Party,GE 2011,Chua Chu Kang GRC,38.8%,GE,2011
1955,TAN Lead Shake,Democratic Progressive Party,GE 1997,Kampong Glam,25.5%,GE,1997
1956,TAN Lead Shake,Democratic Progressive Party,GE 2001,Ayer Rajah,12.0%,GE,2001
1957,TAN Lead Shake,Singapore Democratic Alliance,GE 2006,Tampines GRC,31.5%,GE,2006
1958,"TAN-LEE Mo Chun, Dixie[6 Nov 1935 - 23 Apr 2014]",People's Action Party,GE 1984,Ulu Pandan,Uncontested,GE,1984
1959,"TAN-LEE Mo Chun, Dixie[6 Nov 1935 - 23 Apr 2014]",People's Action Party,GE 1988,Ulu Pandan,69.1%,GE,1988
1960,TAN Leong Teck,Democratic Party,GE 1955,Seletar,22.5%,GE,1955
1961,TAN Leong Teck,Liberal Socialist Party,GE 1959,Bukit Panjang,23.6%,GE,1959
1962,"TAN Li Chern, Terence",Workers' Party,GE 2015,Marine Parade GRC,35.9%,GE,2015
1963,"TAN Liang Joo, John",Singapore Democratic Party,GE 2011,Sembawang GRC,36.1%,GE,2011
1964,"TAN Liang Joo, John",Singapore Democratic Party,GE 2015,Marsiling-Yew Tee GRC,31.3%,GE,2015
1965,"TAN, Lilian",Liberal Socialist Party,GE 1959,Serangoon Gardens,0.8%,GE,1959
1966,"TAN Lip Fong, Dennis",Workers' Party,GE 2015,Fengshan,42.5%,GE,2015
1967,TAN Peng Ann,Singaporeans First,GE 2015,Jurong GRC,20.7%,GE,2015
1968,TAN Peng Khoo,Liberal Socialist Party,GE 1959,Moulmein,9.5%,GE,1959
1969,TAN Peng Seah,United People's Party,GE 1963,Geylang East,7.5%,GE,1963
1970,TAN Poh Seng (Robert),Workers' Party,GE 1972,Paya Lebar,29.8%,GE,1972
1971,TAN Sim Hock,People's Front,GE 1972,Tampines,35.7%,GE,1972
1972,TAN Sim Hong,Progressive Party,MC Apr 1949,North,14.6%,MC Apr,1949
1973,TAN Sim Hong,Liberal Socialist Party,CC 1957,Cairnhill,33.6%,CC,1957
1974,TAN Song Gek,Workers' Party,GE 1988,Ayer Rajah,30.4%,GE,1988
1975,TAN Soo Khoon,People's Action Party,GE 1976,Alexandra,75.9%,GE,1976
1976,TAN Soo Khoon,People's Action Party,GE 1980,Alexandra,Uncontested,GE,1980
1977,TAN Soo Khoon,People's Action Party,GE 1984,Alexandra,66.8%,GE,1984
1978,TAN Soo Khoon,People's Action Party,GE 1988,Brickworks GRC,67.4%,GE,1988
1979,TAN Soo Khoon,People's Action Party,GE 1991,Bedok GRC,62.0%,GE,1991
1980,TAN Soo Khoon,People's Action Party,GE 1997,East Coast GRC,Uncontested,GE,1997
1981,TAN Soo Khoon,People's Action Party,GE 2001,East Coast GRC,Uncontested,GE,2001
1982,TAN Soo Phuan,Workers' Party,GE 1988,Telok Blangah,35.8%,GE,1988
1983,TAN Soo Phuan,Workers' Party,GE 1991,Bedok GRC,38.0%,GE,1991
1984,TAN Soo Phuan,Democratic Progressive Party,GE 1997,Chua Chu Kang,1.9%,GE,1997
1985,TAN Soo Phuan,Democratic Progressive Party,GE 2001,MacPherson,16.3%,GE,2001
1986,TAN Soo Wan,Liberal Socialist Party,GE 1959,Rochore,8.4%,GE,1959
1987,"TAN Soon Neo, Jessica",People's Action Party,GE 2006,East Coast GRC,63.9%,GE,2006
1988,"TAN Soon Neo, Jessica",People's Action Party,GE 2011,East Coast GRC,54.8%,GE,2011
1989,"TAN Soon Neo, Jessica",People's Action Party,GE 2015,East Coast GRC,60.7%,GE,2015
1990,TAN Swee Huat,United People's Party,GE 1963,Telok Blangah,4.2%,GE,1963
1991,TAN Teck Ngiap,People's Action Party,GE 1959,Farrer Park,41.9%,GE,1959
1992,"TAN Tee Yong, Philip",People's Action Party,GE 1984,Paya Lebar,Uncontested,GE,1984
1993,"TAN Tee Yong, Philip",People's Action Party,GE 1988,Paya Lebar,52.4%,GE,1988
1994,TAN Theng Chiang[1913 - 24 Mar 1960],Labour Front,GE 1955,Rochore,46.2%,GE,1955
1995,TAN Theng Chiang[1913 - 24 Mar 1960],Singapore People's Alliance,GE 1959,Havelock,6.6%,GE,1959
1996,"TAN Tiang Hoe, Jimmy",Singapore Democratic Party,GE 1988,Cairnhill,36.0%,GE,1988
1997,"TAN Tiang Hoe, Jimmy",Singapore Democratic Party,GE 1991,Tanglin,30.3%,GE,1991
1998,TAN Wah Meng,Democratic Party,GE 1955,Bukit Timah,21.1%,GE,1955
1999,TAN Wu Meng,People's Action Party,GE 2015,Jurong GRC,79.3%,GE,2015
2000,TAN Wui Hua,Workers' Party,GE 2006,Aljunied GRC,43.9%,GE,2006
2001,TAN Yong Sin,Workers' Party,GE 1976,Punggol,30.6%,GE,1976
2002,TAN Zhi Xiang (Alex),Reform Party,GE 2011,Ang Mo Kio GRC,30.7%,GE,2011
2003,TANG Beng Cheong,Independent,CC 1957,Rochore,13.2%,CC,1957
2004,TANG Guan Seng,People's Action Party,GE 1984,Khe Bong,62.5%,GE,1984
2005,TANG Guan Seng,People's Action Party,GE 1988,Hougang,59.0%,GE,1988
2006,TANG Guan Seng,People's Action Party,GE 1991,Hougang,47.2%,GE,1991
2007,TANG Guan Seng,People's Action Party,GE 1997,Ang Mo Kio GRC,Uncontested,GE,1997
2008,TANG Liang Hong,Workers' Party,GE 1997,Cheng San GRC,45.2%,GE,1997
2009,TANG Peng Yeu,Labour Front,CC 1957,Queenstown,75.0%,CC,1957
2010,TANG See Chim,People's Action Party,BE 1966,Chua Chu Kang,Uncontested,BE,1966
2011,TANG See Chim,People's Action Party,GE 1968,Chua Chu Kang,Uncontested,GE,1968
2012,TANG See Chim,People's Action Party,GE 1972,Chua Chu Kang,62.4%,GE,1972
2013,TANG See Chim,People's Action Party,GE 1976,Chua Chu Kang,68.8%,GE,1976
2014,TANG See Chim,People's Action Party,GE 1980,Chua Chu Kang,Uncontested,GE,1980
2015,TANG See Chim,People's Action Party,GE 1984,Chua Chu Kang,54.8%,GE,1984
2016,TANG Song Khiang,Workers' Party,GE 1972,Bukit Panjang,24.8%,GE,1972
2017,TANG Yoong Chiaw,Partai Rakyat,GE 1959,Aljunied,7.2%,GE,1959
2018,TANN Wee Tiong,Barisan Sosialis,GE 1963,Moulmein,30.2%,GE,1963
2019,TAY Boon Too,People's Action Party,BE 1966,Paya Lebar,Uncontested,BE,1966
2020,TAY Boon Too,People's Action Party,GE 1968,Paya Lebar,Uncontested,GE,1968
2021,TAY Boon Too,People's Action Party,GE 1972,Paya Lebar,61.6%,GE,1972
2022,TAY Check Yaw,Partai Rakyat,GE 1963,Siglap,17.4%,GE,1963
2023,TAY Cheng Kang,Barisan Sosialis,GE 1963,Pasir Panjang,29.7%,GE,1963
2024,TAY Cheng Kang,Barisan Sosialis,GE 1972,Toa Payoh,26.1%,GE,1972
2025,TAY Eng Soon[20 Jan 1940 - 5 Aug 1993],People's Action Party,GE 1980,River Valley,Uncontested,GE,1980
2026,TAY Eng Soon[20 Jan 1940 - 5 Aug 1993],People's Action Party,GE 1984,River Valley,Uncontested,GE,1984
2027,TAY Eng Soon[20 Jan 1940 - 5 Aug 1993],People's Action Party,GE 1988,Eunos GRC,50.9%,GE,1988
2028,TAY Eng Soon[20 Jan 1940 - 5 Aug 1993],People's Action Party,GE 1991,Eunos GRC,52.4%,GE,1991
2029,TAY Hoon,Singapore Democratic Party,GE 1997,Aljunied GRC,33.0%,GE,1997
2030,TAY Kheng Hock,Independent,GE 1959,Punggol,5.7%,GE,1959
2031,TAY Kim Oh,Workers' Party,GE 1972,Anson,19.1%,GE,1972
2032,TAY Kim Sun,People's Action Party,GE 1959,Mountbatten,23.8%,GE,1959
2033,TAY Mook Yong,Independent,GE 1968,Kampong Ubi,18.1%,GE,1968
2034,TAY Soo Yong,Independent,GE 1959,Telok Ayer,13.4%,GE,1959
2035,"TAY Teck Guan, Patrick",People's Action Party,GE 2011,Nee Soon GRC,58.4%,GE,2011
2036,"TAY Teck Guan, Patrick",People's Action Party,GE 2015,West Coast GRC,78.6%,GE,2015
2037,"TAY, Thomas Anthony",United People's Front,GE 1980,Bedok,7.0%,GE,1980
2038,TEE Kim Leng,People's Action Party,GE 1959,Pasir Panjang,36.0%,GE,1959
2039,TEH Cheang Wan[3 Mar 1928 - 14 Dec 1986],People's Action Party,BE 1979,Geylang West,Uncontested,BE,1979
2040,TEH Cheang Wan[3 Mar 1928 - 14 Dec 1986],People's Action Party,GE 1980,Geylang West,85.5%,GE,1980
2041,TEH Cheang Wan[3 Mar 1928 - 14 Dec 1986],People's Action Party,GE 1984,Geylang West,66.8%,GE,1984
2042,TENG Ling Siong,Singapore People's Alliance,GE 1959,Crawford,23.3%,GE,1959
2043,TEO Chee Hean,People's Action Party,BE 1992,Marine Parade GRC,72.9%,BE,1992
2044,TEO Chee Hean,People's Action Party,GE 1997,Pasir Ris GRC,70.9%,GE,1997
2045,TEO Chee Hean,People's Action Party,GE 2001,Pasir Ris-Punggol GRC,Uncontested,GE,2001
2046,TEO Chee Hean,People's Action Party,GE 2006,Pasir Ris-Punggol GRC,68.7%,GE,2006
2047,TEO Chee Hean,People's Action Party,GE 2011,Pasir Ris-Punggol GRC,64.8%,GE,2011
2048,TEO Chee Hean,People's Action Party,GE 2015,Pasir Ris-Punggol GRC,72.9%,GE,2015
2049,TEO Cheng Hye,Singapore People's Alliance,GE 1959,Bukit Merah,30.2%,GE,1959
2050,TEO Chong Tee,People's Action Party,GE 1976,Changi,72.6%,GE,1976
2051,TEO Chong Tee,People's Action Party,GE 1980,Changi,Uncontested,GE,1980
